"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD with steps","This will create a new category","SUCCESS","2022-06-21T18:52:25.288+01:00[Europe/London]","0.0","5.21"
"Categories CURD with steps","Verify if the category was added to the application","SUCCESS","2022-06-21T18:52:30.545+01:00[Europe/London]","0.0","0.32"
"Categories CURD with steps","Update the category information and verify the updated information","SUCCESS","2022-06-21T18:52:30.867+01:00[Europe/London]","0.0","0.12"
"Categories CURD with steps","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-21T18:52:30.995+01:00[Europe/London]","0.0","1.42"
"Product CURD test","This will create a new product","SUCCESS","2022-06-21T18:52:37.997+01:00[Europe/London]","0.0","0.48"
"Product CURD test","Verify if the product is added to the application","SUCCESS","2022-06-21T18:52:38.475+01:00[Europe/London]","0.0","0.05"
"Product CURD test","Update the product information and verify the updated information","SUCCESS","2022-06-21T18:52:38.524+01:00[Europe/London]","0.0","0.09"
"Product CURD test","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-21T18:52:38.617+01:00[Europe/London]","0.0","0.08"
"Service CURD with steps","This will create a new service","SUCCESS","2022-06-21T18:52:38.776+01:00[Europe/London]","0.0","0.09"
"Service CURD with steps","Verify if the service was added to the application","SUCCESS","2022-06-21T18:52:38.865+01:00[Europe/London]","0.0","0.03"
"Service CURD with steps","Update the service information and verify the updated information","SUCCESS","2022-06-21T18:52:38.895+01:00[Europe/London]","0.0","0.09"
"Service CURD with steps","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-21T18:52:38.985+01:00[Europe/London]","0.0","0.16"
"Stores CRUD  with steps","This will create a new store","SUCCESS","2022-06-21T18:52:39.261+01:00[Europe/London]","0.0","0.07"
"Stores CRUD  with steps","Verify if the store was added to the application","SUCCESS","2022-06-21T18:52:39.341+01:00[Europe/London]","0.0","0.04"
"Stores CRUD  with steps","Update the store information and verify the updated information","SUCCESS","2022-06-21T18:52:39.379+01:00[Europe/London]","0.0","0.1"
"Stores CRUD  with steps","Delete the store and verify if the store is deleted!","SUCCESS","2022-06-21T18:52:39.480+01:00[Europe/London]","0.0","0.06"
"Utilities get class","Getting Version from Utilities","SUCCESS","2022-06-21T18:52:39.612+01:00[Europe/London]","0.0","0.02"
"Utilities get class","Getting HealthCheck from Utilities","SUCCESS","2022-06-21T18:52:39.637+01:00[Europe/London]","0.0","0.12"
